YOUR NAME,initial mass  [Msol],initial metallicity,overshoot scheme,overshoot parameter (f_ov),overshoot f0,,log_Teff [K],log_L [Lsol],Core mass [Msol],Core radius [Rsol],Age [Myr],Runtime [s],Status
,2.0,0.0014,exponential,0.03,0.001,,4.021,1.901,0.30917,0.10032,822.54,80,completed
,2.0,0.0014,exponential,0.03,0.005,,4.019,1.911,0.31546,0.10021,831.01,82,completed
,2.0,0.0014,exponential,0.03,0.01,,4.019,1.913,0.31525,0.10026,832.53,82,completed
,2.0,0.0014,exponential,0.1,0.001,,3.836,2.498,0.79836,0.15057,1150.34,82,completed
,2.0,0.0014,exponential,0.1,0.005,,3.826,2.544,0.84228,0.15328,1165.31,84,completed
,2.0,0.0014,exponential,0.1,0.01,,3.824,2.557,0.85768,0.15466,1170.19,80,completed
,2.0,0.0014,no overshooting,0.0,0.0,,4.066,1.711,0.16578,0.05647,600.35,84,completed
,2.0,0.0014,step,0.02,0.001,,4.064,1.722,0.17058,0.06256,615.99,83,completed
,2.0,0.0014,step,0.02,0.005,,4.064,1.721,0.17097,0.06252,614.73,84,completed
,2.0,0.0014,step,0.02,0.01,,4.065,1.716,0.168,0.06022,607.93,83,completed
,2.0,0.0014,step,0.04,0.001,,4.063,1.731,0.17655,0.06676,628.14,82,completed
,2.0,0.0014,step,0.04,0.005,,4.063,1.731,0.17693,0.06676,627.18,85,completed
,2.0,0.0014,step,0.04,0.01,,4.063,1.728,0.17693,0.06574,623.87,86,completed
,2.0,0.014,exponential,0.01,0.001,,3.909,1.526,0.19495,0.08935,964.99,79,completed
,2.0,0.014,exponential,0.01,0.005,,3.908,1.527,0.19457,0.08987,967.36,79,completed
,2.0,0.014,exponential,0.01,0.01,,3.909,1.526,0.19533,0.08934,965.32,79,completed
,2.0,0.014,exponential,0.03,0.001,,3.859,1.611,0.26986,0.10433,1171.3,81,completed
,2.0,0.014,exponential,0.03,0.005,,3.856,1.622,0.2758,0.10336,1187.36,79,completed
,2.0,0.014,exponential,0.03,0.01,,3.854,1.617,0.27545,0.1055,1186.04,82,completed
,2.0,0.014,exponential,0.1,0.001,,3.7,2.084,0.66631,0.13927,1638.22,105,completed
,2.0,0.014,exponential,0.1,0.005,,3.695,2.157,0.70713,0.14171,1662.54,101,completed
,2.0,0.014,exponential,0.1,0.01,,3.694,2.161,0.71297,0.14463,1665.55,102,completed
,2.0,0.014,no overshooting,0.0,0.0,,3.926,1.489,0.16464,0.07395,860.28,81,completed
,2.0,0.014,step,0.1,0.001,,3.911,1.523,0.19153,0.08813,955.59,80,completed
,2.0,0.014,step,0.1,0.005,,3.911,1.522,0.18851,0.08812,951.82,79,completed
,2.0,0.014,step,0.1,0.01,,3.913,1.521,0.1885,0.08547,944.3,82,completed
,2.0,0.014,step,0.3,0.001,,3.869,1.598,0.25357,0.10266,1140.35,78,completed
,2.0,0.014,step,0.3,0.005,,3.87,1.596,0.25357,0.10283,1137.37,79,completed
,2.0,0.014,step,0.3,0.01,,3.871,1.595,0.2508,0.10167,1133.25,79,completed
,30.0,0.0014,exponential,0.01,0.001,,4.532,5.41,10.53618,1.12936,6.15,105,completed
,30.0,0.0014,exponential,0.01,0.005,,4.53,5.411,10.60652,1.12098,6.16,101,completed
,30.0,0.0014,exponential,0.01,0.01,,4.532,5.41,10.52439,1.13173,6.15,100,completed
,30.0,0.0014,exponential,0.03,0.001,,4.472,5.471,12.55064,1.23182,6.58,98,completed
,30.0,0.0014,exponential,0.03,0.005,,4.466,5.478,12.76148,1.23576,6.62,98,completed
,30.0,0.0014,exponential,0.03,0.01,,4.465,5.477,12.71707,1.24206,6.62,97,completed
,30.0,0.0014,exponential,0.1,0.001,,3.704,5.65,18.74176,1.66963,7.55,111,completed
,30.0,0.0014,exponential,0.1,0.005,,3.704,5.652,19.21019,1.86608,7.56,109,completed
,30.0,0.0014,exponential,0.1,0.01,,3.706,5.654,19.34848,1.89489,7.57,110,completed
,30.0,0.0014,no overshooting,0.0,0.0,,4.549,5.384,9.6719,1.0874,5.91,112,completed
,30.0,0.0014,step,0.02,0.001,,4.551,5.389,9.95776,1.0938,5.96,105,completed
,30.0,0.0014,step,0.02,0.005,,4.495,5.465,11.31564,1.19711,6.67,139,completed
,30.0,0.0014,step,0.02,0.01,,4.499,5.458,11.13082,1.19001,6.6,112,completed
,30.0,0.0014,step,0.04,0.001,,4.545,5.393,10.00513,1.09832,6.0,103,completed
,30.0,0.0014,step,0.04,0.005,,4.544,5.391,9.95776,1.10605,5.99,272,completed
,30.0,0.014,exponential,0.01,0.001,,4.445,5.388,10.34779,1.29918,5.78,139,completed
,30.0,0.014,exponential,0.01,0.005,,4.444,5.389,10.31257,1.30085,5.79,151,completed
,30.0,0.014,exponential,0.01,0.01,,4.445,5.388,10.30078,1.30059,5.78,133,completed
,30.0,0.014,exponential,0.03,0.001,,4.318,5.439,12.28296,1.40509,6.21,111,completed
,30.0,0.014,exponential,0.03,0.005,,4.303,5.444,12.45594,1.40805,6.24,132,completed
,30.0,0.014,exponential,0.03,0.01,,4.301,5.444,12.41703,1.41879,6.25,127,completed
,30.0,0.014,exponential,0.1,0.001,,4.29,5.603,17.67568,1.75173,7.16,559,completed
,30.0,0.014,exponential,0.1,0.005,,4.413,5.616,18.14063,1.78158,7.22,408,completed
,30.0,0.014,exponential,0.1,0.01,,4.424,5.619,18.2523,1.79761,7.24,465,completed
,30.0,0.014,no overshooting,0.0,0.0,,4.476,5.36,9.39897,1.25311,5.53,215,completed
,30.0,0.014,step,0.1,0.001,,4.444,5.389,10.3948,1.29918,5.79,106,completed
,30.0,0.014,step,0.1,0.005,,4.445,5.388,10.34784,1.29502,5.78,165,completed
,30.0,0.014,step,0.1,0.01,,4.447,5.386,10.20657,1.2987,5.76,139,completed
,30.0,0.014,step,0.3,0.001,,4.297,5.446,12.53947,1.41809,6.25,180,completed
,30.0,0.014,step,0.3,0.005,,4.3,5.444,12.49505,1.41403,6.24,163,completed
,30.0,0.014,step,0.3,0.01,,4.303,5.442,12.45606,1.41784,6.23,167,completed
,5.0,0.0014,exponential,0.01,0.001,,4.273,3.201,0.67758,0.19074,82.88,106,completed
,5.0,0.0014,exponential,0.01,0.005,,4.273,3.203,0.67559,0.19201,83.1,103,completed
,5.0,0.0014,exponential,0.01,0.01,,4.273,3.201,0.68361,0.19071,82.87,111,completed
,5.0,0.0014,exponential,0.03,0.001,,4.246,3.34,0.97157,0.23177,97.93,96,completed
,5.0,0.0014,exponential,0.03,0.005,,4.244,3.35,0.99171,0.23458,98.91,100,completed
,5.0,0.0014,exponential,0.03,0.01,,4.244,3.351,1.00463,0.23472,98.97,97,completed
,5.0,0.0014,exponential,0.1,0.001,,4.146,3.818,2.18894,0.34476,129.83,100,completed
,5.0,0.0014,exponential,0.1,0.005,,4.14,3.853,2.29333,0.35302,131.57,101,completed
,5.0,0.0014,exponential,0.1,0.01,,4.139,3.862,2.32162,0.35614,131.99,101,completed
,5.0,0.0014,no overshooting,0.0,0.0,,4.283,3.134,0.54716,0.15423,74.12,101,completed
,5.0,0.0014,step,0.02,0.001,,4.281,3.146,0.57055,0.16392,75.73,101,completed
,5.0,0.0014,step,0.02,0.005,,4.282,3.144,0.57253,0.16127,75.37,99,completed
,5.0,0.0014,step,0.02,0.01,,4.282,3.14,0.56468,0.15845,74.93,101,completed
,5.0,0.0014,step,0.04,0.001,,4.28,3.158,0.58821,0.16754,77.27,99,completed
,5.0,0.0014,step,0.04,0.005,,4.28,3.155,0.5823,0.16946,77.0,100,completed
,5.0,0.0014,step,0.04,0.01,,4.281,3.152,0.58281,0.16843,76.57,100,completed
,5.0,0.014,exponential,0.01,0.001,,4.179,3.098,0.64424,0.21022,92.64,99,completed
,5.0,0.014,exponential,0.01,0.005,,4.178,3.1,0.6383,0.21216,92.84,100,completed
,5.0,0.014,exponential,0.01,0.01,,4.179,3.098,0.64622,0.21204,92.58,100,completed
,5.0,0.014,exponential,0.03,0.001,,4.143,3.227,0.91194,0.25372,109.83,101,completed
,5.0,0.014,exponential,0.03,0.005,,4.139,3.236,0.93765,0.25779,110.94,99,completed
,5.0,0.014,exponential,0.03,0.01,,4.139,3.236,0.93765,0.25778,110.98,98,completed
,5.0,0.014,exponential,0.1,0.001,,3.983,3.708,2.06404,0.36802,145.69,104,completed
,5.0,0.014,exponential,0.1,0.005,,3.97,3.747,2.16711,0.37799,147.61,103,completed
,5.0,0.014,exponential,0.1,0.01,,3.966,3.756,2.19616,0.37869,148.1,104,completed
,5.0,0.014,no overshooting,0.0,0.0,,4.192,3.038,0.52659,0.16951,82.91,101,completed
,5.0,0.014,step,0.1,0.001,,4.18,3.092,0.63629,0.20996,91.63,100,completed
,5.0,0.014,step,0.1,0.005,,4.181,3.09,0.62836,0.20803,91.32,100,completed
,5.0,0.014,step,0.1,0.01,,4.181,3.087,0.62044,0.20586,90.83,101,completed
,5.0,0.014,step,0.3,0.001,,4.146,3.211,0.8914,0.25002,108.08,101,completed
,5.0,0.014,step,0.3,0.005,,4.147,3.209,0.87908,0.24983,107.73,100,completed
,5.0,0.014,step,0.3,0.01,,4.148,3.206,0.87857,0.24958,107.37,101,completed
