inlist_name,runtime_seconds,completion_status
inlist_M2_Z0.0014_step_fov0.04_f00.01,101,completed
inlist_M5_Z0.0140_noovs,89,completed
inlist_M5_Z0.0140_exponential_fov0.01_f00.001,140,completed
inlist_M5_Z0.0140_exponential_fov0.01_f00.005,157,completed
inlist_M5_Z0.0140_exponential_fov0.01_f00.010,127,completed
inlist_M5_Z0.0140_exponential_fov0.03_f00.001,95,completed
inlist_M5_Z0.0140_exponential_fov0.03_f00.005,118,completed
inlist_M5_Z0.0140_exponential_fov0.03_f00.01,97,completed
inlist_M5_Z0.0140_exponential_fov0.10_f00.001,104,completed
inlist_M5_Z0.0140_exponential_fov0.10_f00.005,137,completed
inlist_M5_Z0.0140_exponential_fov0.10_f00.01,106,completed
inlist_M5_Z0.0140_step_fov0.10_f00.001,101,completed
inlist_M5_Z0.0140_step_fov0.10_f00.005,123,completed
inlist_M5_Z0.0140_step_fov0.10_f00.01,102,completed
inlist_M5_Z0.0140_step_fov0.30_f00.001,89,completed
inlist_M5_Z0.0140_step_fov0.30_f00.005,98,completed
inlist_M5_Z0.0140_step_fov0.30_f00.01,103,completed
inlist_M5_Z0.0014_noovs,104,completed
inlist_M5_Z0.0014_exponential_fov0.01_f00.001,95,completed
inlist_M5_Z0.0014_exponential_fov0.01_f00.005,87,completed
inlist_M5_Z0.0014_exponential_fov0.01_f00.010,87,completed
inlist_M5_Z0.0014_exponential_fov0.03_f00.001,90,completed
inlist_M5_Z0.0014_exponential_fov0.03_f00.005,100,completed
inlist_M5_Z0.0014_exponential_fov0.03_f00.01,116,completed
inlist_M5_Z0.0014_exponential_fov0.10_f00.001,92,completed
inlist_M5_Z0.0014_exponential_fov0.10_f00.005,99,completed
inlist_M5_Z0.0014_exponential_fov0.10_f00.01,10432,completed
inlist_M5_Z0.0014_step_fov0.02_f00.001,150,completed
inlist_M5_Z0.0014_step_fov0.02_f00.005,154,completed
inlist_M5_Z0.0014_step_fov0.02_f00.01,150,completed
inlist_M5_Z0.0014_step_fov0.04_f00.001,111,completed
inlist_M5_Z0.0014_step_fov0.04_f00.005,105,completed
inlist_M5_Z0.0014_step_fov0.04_f00.01,100,completed
inlist_M15_Z0.0140_noovs,161,completed
inlist_M15_Z0.0140_exponential_fov0.01_f00.001,169,completed
inlist_M15_Z0.0140_exponential_fov0.01_f00.005,151,completed
inlist_M15_Z0.0140_exponential_fov0.01_f00.010,216,completed
inlist_M15_Z0.0140_exponential_fov0.03_f00.001,128,completed
inlist_M15_Z0.0140_exponential_fov0.03_f00.005,110,completed
inlist_M15_Z0.0140_exponential_fov0.03_f00.01,163,completed
inlist_M15_Z0.0140_exponential_fov0.10_f00.001,115,completed
inlist_M15_Z0.0140_exponential_fov0.10_f00.005,117,completed
inlist_M15_Z0.0140_exponential_fov0.10_f00.01,115,completed
inlist_M15_Z0.0140_step_fov0.10_f00.001,112,completed
inlist_M15_Z0.0140_step_fov0.10_f00.005,109,completed
inlist_M15_Z0.0014_exponential_fov0.01_f00.001,86,completed
inlist_M15_Z0.0014_exponential_fov0.01_f00.005,78,completed
inlist_M15_Z0.0014_exponential_fov0.01_f00.010,79,completed
inlist_M15_Z0.0014_exponential_fov0.03_f00.001,84,completed
inlist_M15_Z0.0014_exponential_fov0.03_f00.005,87,completed
inlist_M15_Z0.0014_exponential_fov0.03_f00.01,93,completed
inlist_M15_Z0.0014_exponential_fov0.10_f00.001,114,completed
inlist_M15_Z0.0014_exponential_fov0.10_f00.005,112,completed
inlist_M15_Z0.0014_exponential_fov0.10_f00.01,111,completed
inlist_M15_Z0.0014_noovs,180,completed
inlist_M15_Z0.0014_step_fov0.02_f00.001,102,completed
inlist_M15_Z0.0014_step_fov0.02_f00.005,133,completed
inlist_M15_Z0.0014_step_fov0.02_f00.01,103,completed
inlist_M15_Z0.0014_step_fov0.04_f00.001,93,completed
inlist_M15_Z0.0014_step_fov0.04_f00.005,94,completed
inlist_M15_Z0.0014_step_fov0.04_f00.01,92,completed
inlist_M15_Z0.0140_exponential_fov0.01_f00.001,98,completed
inlist_M15_Z0.0140_exponential_fov0.01_f00.005,94,completed
inlist_M15_Z0.0140_exponential_fov0.01_f00.010,90,completed
inlist_M15_Z0.0140_exponential_fov0.03_f00.001,89,completed
inlist_M15_Z0.0140_exponential_fov0.03_f00.005,91,completed
inlist_M15_Z0.0140_exponential_fov0.03_f00.01,91,completed
inlist_M15_Z0.0140_exponential_fov0.10_f00.001,97,completed
inlist_M15_Z0.0140_exponential_fov0.10_f00.005,99,completed
inlist_M15_Z0.0140_exponential_fov0.10_f00.01,100,completed
inlist_M15_Z0.0140_noovs,103,completed
inlist_M15_Z0.0140_step_fov0.10_f00.001,91,completed
inlist_M15_Z0.0140_step_fov0.10_f00.005,93,completed
inlist_M15_Z0.0140_step_fov0.10_f00.01,93,completed
inlist_M15_Z0.0140_step_fov0.30_f00.001,92,completed
inlist_M15_Z0.0140_step_fov0.30_f00.005,92,completed
inlist_M15_Z0.0140_step_fov0.30_f00.01,91,completed
inlist_M2_Z0.0014_exponential_fov0.01_f00.001,80,completed
inlist_M2_Z0.0014_exponential_fov0.01_f00.005,80,completed
inlist_M2_Z0.0014_exponential_fov0.01_f00.010,80,completed
inlist_M2_Z0.0014_exponential_fov0.03_f00.001,80,completed
inlist_M2_Z0.0014_exponential_fov0.03_f00.005,82,completed
inlist_M2_Z0.0014_exponential_fov0.03_f00.01,82,completed
inlist_M2_Z0.0014_exponential_fov0.10_f00.001,82,completed
inlist_M2_Z0.0014_exponential_fov0.10_f00.005,84,completed
inlist_M2_Z0.0014_exponential_fov0.10_f00.01,80,completed
inlist_M2_Z0.0014_noovs,84,completed
inlist_M2_Z0.0014_step_fov0.02_f00.001,83,completed
inlist_M2_Z0.0014_step_fov0.02_f00.005,84,completed
inlist_M2_Z0.0014_step_fov0.02_f00.01,83,completed
inlist_M2_Z0.0014_step_fov0.04_f00.001,82,completed
inlist_M2_Z0.0014_step_fov0.04_f00.005,85,completed
inlist_M2_Z0.0014_step_fov0.04_f00.01,86,completed
inlist_M2_Z0.0140_exponential_fov0.01_f00.001,79,completed
inlist_M2_Z0.0140_exponential_fov0.01_f00.005,79,completed
inlist_M2_Z0.0140_exponential_fov0.01_f00.010,79,completed
inlist_M2_Z0.0140_exponential_fov0.03_f00.001,81,completed
inlist_M2_Z0.0140_exponential_fov0.03_f00.005,79,completed
inlist_M2_Z0.0140_exponential_fov0.03_f00.01,82,completed
inlist_M2_Z0.0140_exponential_fov0.10_f00.001,105,completed
inlist_M2_Z0.0140_exponential_fov0.10_f00.005,101,completed
inlist_M2_Z0.0140_exponential_fov0.10_f00.01,102,completed
inlist_M2_Z0.0140_noovs,81,completed
inlist_M2_Z0.0140_step_fov0.10_f00.001,80,completed
inlist_M2_Z0.0140_step_fov0.10_f00.005,79,completed
inlist_M2_Z0.0140_step_fov0.10_f00.01,82,completed
inlist_M2_Z0.0140_step_fov0.30_f00.001,78,completed
inlist_M2_Z0.0140_step_fov0.30_f00.005,79,completed
inlist_M2_Z0.0140_step_fov0.30_f00.01,79,completed
inlist_M30_Z0.0014_exponential_fov0.01_f00.001,105,completed
inlist_M30_Z0.0014_exponential_fov0.01_f00.005,101,completed
inlist_M30_Z0.0014_exponential_fov0.01_f00.010,100,completed
inlist_M30_Z0.0014_exponential_fov0.03_f00.001,98,completed
inlist_M30_Z0.0014_exponential_fov0.03_f00.005,98,completed
inlist_M30_Z0.0014_exponential_fov0.03_f00.01,97,completed
inlist_M30_Z0.0014_exponential_fov0.10_f00.001,111,completed
inlist_M30_Z0.0014_exponential_fov0.10_f00.005,109,completed
inlist_M30_Z0.0014_exponential_fov0.10_f00.01,110,completed
inlist_M30_Z0.0014_noovs,112,completed
inlist_M30_Z0.0014_step_fov0.02_f00.001,105,completed
inlist_M30_Z0.0014_step_fov0.02_f00.005,139,completed
inlist_M30_Z0.0014_step_fov0.02_f00.01,112,completed
inlist_M30_Z0.0014_step_fov0.04_f00.001,103,completed
inlist_M30_Z0.0014_step_fov0.04_f00.005,272,completed
inlist_M30_Z0.0140_exponential_fov0.01_f00.001,139,completed
inlist_M30_Z0.0140_exponential_fov0.01_f00.005,151,completed
inlist_M30_Z0.0140_exponential_fov0.01_f00.010,133,completed
inlist_M30_Z0.0140_exponential_fov0.03_f00.001,111,completed
inlist_M30_Z0.0140_exponential_fov0.03_f00.005,132,completed
inlist_M30_Z0.0140_exponential_fov0.03_f00.01,127,completed
inlist_M30_Z0.0140_exponential_fov0.10_f00.001,559,completed
inlist_M30_Z0.0140_exponential_fov0.10_f00.005,408,completed
inlist_M30_Z0.0140_exponential_fov0.10_f00.01,465,completed
inlist_M30_Z0.0140_noovs,215,completed
inlist_M30_Z0.0140_step_fov0.10_f00.001,106,completed
inlist_M30_Z0.0140_step_fov0.10_f00.005,165,completed
inlist_M30_Z0.0140_step_fov0.10_f00.01,139,completed
inlist_M30_Z0.0140_step_fov0.30_f00.001,180,completed
inlist_M30_Z0.0140_step_fov0.30_f00.005,163,completed
inlist_M30_Z0.0140_step_fov0.30_f00.01,167,completed
inlist_M5_Z0.0014_exponential_fov0.01_f00.001,106,completed
inlist_M5_Z0.0014_exponential_fov0.01_f00.005,103,completed
inlist_M5_Z0.0014_exponential_fov0.01_f00.010,111,completed
inlist_M5_Z0.0014_exponential_fov0.03_f00.001,96,completed
inlist_M5_Z0.0014_exponential_fov0.03_f00.005,100,completed
inlist_M5_Z0.0014_exponential_fov0.03_f00.01,97,completed
inlist_M5_Z0.0014_exponential_fov0.10_f00.001,100,completed
inlist_M5_Z0.0014_exponential_fov0.10_f00.005,101,completed
inlist_M5_Z0.0014_exponential_fov0.10_f00.01,101,completed
inlist_M5_Z0.0014_noovs,101,completed
inlist_M5_Z0.0014_step_fov0.02_f00.001,101,completed
inlist_M5_Z0.0014_step_fov0.02_f00.005,99,completed
inlist_M5_Z0.0014_step_fov0.02_f00.01,101,completed
inlist_M5_Z0.0014_step_fov0.04_f00.001,99,completed
inlist_M5_Z0.0014_step_fov0.04_f00.005,100,completed
inlist_M5_Z0.0014_step_fov0.04_f00.01,100,completed
inlist_M5_Z0.0140_exponential_fov0.01_f00.001,99,completed
inlist_M5_Z0.0140_exponential_fov0.01_f00.005,100,completed
inlist_M5_Z0.0140_exponential_fov0.01_f00.010,100,completed
inlist_M5_Z0.0140_exponential_fov0.03_f00.001,101,completed
inlist_M5_Z0.0140_exponential_fov0.03_f00.005,99,completed
inlist_M5_Z0.0140_exponential_fov0.03_f00.01,98,completed
inlist_M5_Z0.0140_exponential_fov0.10_f00.001,104,completed
inlist_M5_Z0.0140_exponential_fov0.10_f00.005,103,completed
inlist_M5_Z0.0140_exponential_fov0.10_f00.01,104,completed
inlist_M5_Z0.0140_noovs,101,completed
inlist_M5_Z0.0140_step_fov0.10_f00.001,100,completed
inlist_M5_Z0.0140_step_fov0.10_f00.005,100,completed
inlist_M5_Z0.0140_step_fov0.10_f00.01,101,completed
inlist_M5_Z0.0140_step_fov0.30_f00.001,101,completed
inlist_M5_Z0.0140_step_fov0.30_f00.005,100,completed
inlist_M5_Z0.0140_step_fov0.30_f00.01,101,completed
inlist_M2_Z0.0140_noovs,71,completed
inlist_M2_Z0.0140_exponential_fov0.01_f00.001,69,completed
inlist_M2_Z0.0140_exponential_fov0.01_f00.005,69,completed
inlist_M2_Z0.0140_exponential_fov0.01_f00.010,75,completed
inlist_M2_Z0.0140_exponential_fov0.03_f00.001,83,completed
inlist_M2_Z0.0140_exponential_fov0.03_f00.005,87,completed
inlist_M2_Z0.0140_exponential_fov0.03_f00.01,96,completed
inlist_M2_Z0.0140_exponential_fov0.10_f00.001,80,completed
inlist_M2_Z0.0140_exponential_fov0.10_f00.005,85,completed
inlist_M2_Z0.0140_exponential_fov0.10_f00.01,115,completed
inlist_M2_Z0.0140_step_fov0.10_f00.001,97,completed
inlist_M2_Z0.0140_step_fov0.10_f00.005,105,completed
inlist_M2_Z0.0140_step_fov0.10_f00.01,109,completed
inlist_M2_Z0.0140_step_fov0.30_f00.001,109,completed
inlist_M2_Z0.0140_step_fov0.30_f00.005,106,completed
inlist_M2_Z0.0140_step_fov0.30_f00.01,110,completed
inlist_M2_Z0.0014_noovs,117,completed
inlist_M2_Z0.0014_exponential_fov0.01_f00.001,118,completed
inlist_M2_Z0.0014_exponential_fov0.01_f00.005,110,completed
inlist_M2_Z0.0014_exponential_fov0.01_f00.010,105,completed
inlist_M2_Z0.0014_exponential_fov0.03_f00.001,108,completed
inlist_M2_Z0.0014_exponential_fov0.03_f00.005,113,completed
inlist_M2_Z0.0014_exponential_fov0.03_f00.01,115,completed
inlist_M2_Z0.0140_noovs,2824,completed
inlist_M2_Z0.0140_exponential_fov0.01_f00.001,102,completed
inlist_M2_Z0.0140_exponential_fov0.01_f00.005,102,completed
inlist_M2_Z0.0140_exponential_fov0.01_f00.010,104,completed
inlist_M2_Z0.0140_exponential_fov0.03_f00.001,110,completed
inlist_M2_Z0.0140_exponential_fov0.03_f00.005,115,completed
inlist_M2_Z0.0140_exponential_fov0.03_f00.01,114,completed
inlist_M2_Z0.0140_exponential_fov0.10_f00.001,104,completed
inlist_M2_Z0.0140_exponential_fov0.10_f00.005,111,completed
inlist_M2_Z0.0140_exponential_fov0.10_f00.01,11276,completed
inlist_M2_Z0.0140_step_fov0.10_f00.001,123,completed
inlist_M2_Z0.0140_step_fov0.10_f00.005,180,completed
inlist_M2_Z0.0140_step_fov0.10_f00.01,206,completed
inlist_M2_Z0.0140_step_fov0.30_f00.001,247,completed
inlist_M2_Z0.0140_step_fov0.30_f00.005,191,completed
inlist_M2_Z0.0140_step_fov0.30_f00.01,203,completed
inlist_M2_Z0.0014_noovs,232,completed
inlist_M2_Z0.0014_exponential_fov0.01_f00.001,248,completed
inlist_M2_Z0.0014_exponential_fov0.01_f00.005,299,completed
inlist_M2_Z0.0014_exponential_fov0.01_f00.010,323,completed
inlist_M2_Z0.0014_exponential_fov0.03_f00.001,374,completed
inlist_M2_Z0.0014_exponential_fov0.03_f00.005,432,completed
inlist_M2_Z0.0014_exponential_fov0.03_f00.01,440,completed
inlist_M2_Z0.0014_exponential_fov0.10_f00.001,446,completed
inlist_M2_Z0.0014_exponential_fov0.10_f00.005,452,completed
inlist_M2_Z0.0014_exponential_fov0.10_f00.01,448,completed
inlist_M2_Z0.0014_step_fov0.02_f00.001,484,completed
inlist_M2_Z0.0014_step_fov0.02_f00.005,473,completed
inlist_M2_Z0.0014_step_fov0.02_f00.01,493,completed
inlist_M2_Z0.0014_step_fov0.04_f00.001,472,completed
inlist_M2_Z0.0014_step_fov0.04_f00.005,498,completed
inlist_M2_Z0.0014_step_fov0.04_f00.01,472,completed
inlist_M5_Z0.0140_noovs,475,completed
inlist_M5_Z0.0140_exponential_fov0.01_f00.001,461,completed
inlist_M5_Z0.0140_exponential_fov0.01_f00.005,462,completed
inlist_M5_Z0.0140_exponential_fov0.01_f00.010,475,completed
inlist_M5_Z0.0140_exponential_fov0.03_f00.001,84,completed
inlist_M5_Z0.0140_exponential_fov0.03_f00.005,81,completed
inlist_M5_Z0.0140_exponential_fov0.03_f00.01,82,completed
inlist_M5_Z0.0140_exponential_fov0.10_f00.001,86,completed
inlist_M5_Z0.0140_exponential_fov0.10_f00.005,85,completed
inlist_M5_Z0.0140_exponential_fov0.10_f00.01,85,completed
inlist_M5_Z0.0140_step_fov0.10_f00.001,83,completed
inlist_M5_Z0.0140_step_fov0.10_f00.005,82,completed
inlist_M5_Z0.0140_step_fov0.10_f00.01,81,completed
inlist_M5_Z0.0140_step_fov0.30_f00.001,82,completed
inlist_M5_Z0.0140_step_fov0.30_f00.005,83,completed
inlist_M5_Z0.0140_step_fov0.30_f00.01,84,completed
inlist_M5_Z0.0014_noovs,87,completed
inlist_M5_Z0.0014_exponential_fov0.01_f00.001,81,completed
inlist_M5_Z0.0014_exponential_fov0.01_f00.005,81,completed
inlist_M5_Z0.0014_exponential_fov0.01_f00.010,84,completed
inlist_M5_Z0.0014_exponential_fov0.03_f00.001,115,completed
inlist_M5_Z0.0014_exponential_fov0.03_f00.005,93,completed
inlist_M5_Z0.0014_exponential_fov0.03_f00.01,91,completed
inlist_M5_Z0.0014_exponential_fov0.10_f00.001,102,completed
inlist_M5_Z0.0014_exponential_fov0.10_f00.005,127,completed
inlist_M5_Z0.0014_exponential_fov0.10_f00.01,121,completed
inlist_M5_Z0.0014_step_fov0.02_f00.001,90,completed
inlist_M5_Z0.0014_step_fov0.02_f00.005,100,completed
inlist_M5_Z0.0014_step_fov0.02_f00.01,129,completed
